frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,1,905.753391637392 561.3028550915527 3162.630567551767 1818.6613499168802,1031.0419921875 1354.11083984375 1403.3895263671875 1575.6988525390625,0.3268977105617523,150두9602,0.9925419159280053
2,1,905.7556622705669 561.508620995917 3162.6957188727433 1818.928638367714,1030.870034790039 1354.3096801757813 1403.7091156005858 1576.2282806396483,0,0,0
3,1,905.7579329037417 561.7143869002814 3162.7608701937197 1819.195926818548,1030.6980773925782 1354.5085205078126 1404.0287048339844 1576.7577087402344,0,0,0
4,1,905.7602035369166 561.9201528046457 3162.826021514696 1819.4632152693819,1030.5261199951171 1354.7073608398437 1404.3482940673828 1577.2871368408203,0,0,0
5,1,905.7624741700914 562.1259187090101 3162.8911728356725 1819.7305037202157,1030.3541625976563 1354.906201171875 1404.6678833007813 1577.8165649414063,0,0,0
6,1,905.7647448032662 562.3316846133744 3162.9563241566484 1819.9977921710497,1030.1822052001953 1355.1050415039062 1404.9874725341797 1578.3459930419922,0,0,0
7,1,905.767015436441 562.5374505177388 3163.021475477625 1820.2650806218835,1030.0102478027343 1355.3038818359375 1405.307061767578 1578.875421142578,0,0,0
8,1,905.7692860696159 562.743216422103 3163.086626798601 1820.5323690727173,1029.8382904052735 1355.5027221679688 1405.6266510009766 1579.404849243164,0,0,0
9,1,905.7715567027908 562.9489823264673 3163.1517781195776 1820.7996575235513,1029.6663330078125 1355.7015625 1405.946240234375 1579.93427734375,0,0,0
10,1,905.7738273359656 563.1547482308317 3163.216929440554 1821.0669459743851,1029.4943756103517 1355.9004028320312 1406.2658294677735 1580.463705444336,0,0,0
11,1,905.7760979691404 563.360514135196 3163.2820807615303 1821.3342344252192,1029.3224182128906 1356.0992431640625 1406.5854187011719 1580.9931335449219,0,0,0
12,1,905.7783686023153 563.5662800395604 3163.3472320825067 1821.601522876053,1029.1504608154296 1356.2980834960938 1406.9050079345702 1581.5225616455077,0,0,0
13,1,905.7806392354901 563.7720459439247 3163.412383403483 1821.8688113268868,1028.9785034179688 1356.496923828125 1407.2245971679688 1582.0519897460938,0,0,0
