frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
159,1,249.40823224101678 335.6744640087992 1945.0792284067015 1611.2588334153434,790.9953002929688 1302.0491943359375 1402.8883056640625 1470.0340576171875,0.7739582061767578,18로7571,0.7362006442563073
160,1,239.41405249955207 336.3159778807829 1935.753065512992 1612.0723607402235,777.6685180664062 1302.3834885817307 1389.8594078650842 1470.6258169320913,0,0,0
161,1,229.41987275808737 336.9574917527666 1926.4269026192826 1612.8858880651037,764.3417358398438 1302.717782827524 1376.8305100661057 1471.2175762469951,0,0,0
162,1,219.42569301662266 337.59900562475036 1917.100739725573 1613.6994153899839,751.0149536132812 1303.0520770733174 1363.8016122671274 1471.809335561899,0,0,0
163,1,209.43151327515795 338.24051949673407 1907.7745768318637 1614.512942714864,737.6881713867188 1303.3863713191106 1350.772714468149 1472.401094876803,0,0,0
164,1,199.43733353369325 338.88203336871777 1898.448413938154 1615.3264700397442,724.3613891601562 1303.7206655649038 1337.7438166691707 1472.9928541917068,0,0,0
165,1,189.44315379222854 339.5235472407015 1889.1222510444445 1616.1399973646244,711.0346069335938 1304.054959810697 1324.7149188701924 1473.5846135066106,0,0,0
166,1,179.4489740507638 340.16506111268524 1879.7960881507352 1616.9535246895048,697.7078247070312 1304.3892540564905 1311.6860210712139 1474.1763728215144,0,0,0
167,1,169.45479430929913 340.80657498466894 1870.4699252570256 1617.767052014385,684.3810424804688 1304.7235483022837 1298.6571232722356 1474.7681321364182,0,0,0
168,1,159.4606145678344 341.44808885665265 1861.143762363316 1618.5805793392651,671.0542602539062 1305.057842548077 1285.6282254732573 1475.359891451322,0,0,0
169,1,149.46643482636972 342.08960272863635 1851.8175994696066 1619.3941066641453,657.7274780273438 1305.3921367938701 1272.5993276742788 1475.951650766226,0,0,0
170,1,139.472255084905 342.7311166006201 1842.491436575897 1620.2076339890255,644.4006958007812 1305.7264310396636 1259.5704298753005 1476.5434100811299,0,0,0
171,1,129.47807534344028 343.3726304726038 1833.1652736821877 1621.0211613139056,631.0739135742188 1306.0607252854568 1246.541532076322 1477.1351693960337,0,0,0
172,1,119.48389560197558 344.0141443445875 1823.8391107884781 1621.8346886387858,617.7471313476562 1306.39501953125 1233.5126342773438 1477.7269287109375,0,0,0
173,1,109.48971586051087 344.6556582165712 1814.5129478947686 1622.648215963666,604.4203491210938 1306.7293137770432 1220.4837364783655 1478.3186880258413,0,0,0
174,1,99.49553611904616 345.29717208855493 1805.1867850010592 1623.4617432885461,591.0935668945312 1307.0636080228364 1207.454838679387 1478.9104473407451,0,0,0
175,1,89.50135637758146 345.9386859605387 1795.8606221073496 1624.2752706134263,577.7667846679688 1307.3979022686299 1194.4259408804087 1479.502206655649,0,0,0
