frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,1.0,[905.753391637392 561.3028550915527 3162.630567551767 1818.6613499168802],[1031.0419921875 1354.11083984375 1403.3895263671875 1575.6988525390625],0.3268977105617523,150두9602,0.9925419159280053
41,1.0,[905.8442169643856 569.533491266126 3165.2366203908205 1829.3528879502355],[1024.1636962890625 1362.064453125 1416.173095703125 1596.8759765625],0.46959415078163147,150두9602,0.9974155620641572
44,1.0,[906.6291621692496 570.1491258484028 3166.5677490906746 1830.7444629279207],[1019.7052612304688 1361.208251953125 1421.836669921875 1604.1368408203125],0.4593106806278229,150두9602,0.9975551293200735
46,1.0,[907.6829454571139 570.5129288164153 3167.026967771684 1831.695245043085],[1016.4169921875 1358.350830078125 1422.3040771484375 1605.937255859375],0.45823022723197937,150두9602,0.9929872844644412
47,1.0,[907.6226419847744 570.4133777306421 3166.8590330535267 1831.8800415887104],[1014.0704956054688 1356.319580078125 1422.182861328125 1605.5533447265625],0.4523816406726837,150두9602,0.9959380493614474
49,1.0,[907.9108441064086 570.3331441858179 3167.277263097511 1832.4626414432003],[1013.4614868164062 1355.553955078125 1421.9371337890625 1604.6832275390625],0.37605953216552734,150두9602,0.9879767251316565
